prompt,tool,shap_value,is_relevant,expected_tool
Can you calculate (5+6)*3 for me?,Calculator,0.7053926685986731,True,Calculator
Can you calculate (5+6)*3 for me?,QueryStock,0.052349988912240755,True,Calculator
Can you calculate (5+6)*3 for me?,Wiki,0.08036508273242257,True,Calculator
Can you calculate (5+6)*3 for me?,AddAlarm,0.06429830412296249,False,Calculator
Can you calculate (5+6)*3 for me?,AddReminder,0.05122352427639123,False,Calculator
Can you calculate (5+6)*3 for me?,PlayMusic,0.0,False,Calculator
Can you calculate (5+6)*3 for me?,BookHotel,0.046370431357309845,False,Calculator
Can you perform some basic arithmetic calculation ,Calculator,0.5289399893081588,True,Calculator
Can you perform some basic arithmetic calculation ,QueryStock,0.0,True,Calculator
Can you perform some basic arithmetic calculation ,Wiki,0.09384985770978564,True,Calculator
Can you perform some basic arithmetic calculation ,AddAlarm,0.13690916672884376,False,Calculator
Can you perform some basic arithmetic calculation ,AddReminder,0.10589240881652001,False,Calculator
Can you perform some basic arithmetic calculation ,PlayMusic,0.07254533042475532,False,Calculator
Can you perform some basic arithmetic calculation ,BookHotel,0.06186324701193644,False,Calculator
Can you help me with some basic math problems?,Calculator,0.13218649471315858,True,Calculator
Can you help me with some basic math problems?,QueryStock,0.11862341157805144,True,Calculator
Can you help me with some basic math problems?,Wiki,0.15842890192379688,True,Calculator
Can you help me with some basic math problems?,AddAlarm,0.0,False,Calculator
Can you help me with some basic math problems?,AddReminder,0.03226394440792517,False,Calculator
Can you help me with some basic math problems?,PlayMusic,0.261228955466582,False,Calculator
Can you help me with some basic math problems?,BookHotel,0.297268291910486,False,Calculator
"What is the stock price of SQ on March 14th, 2022?",Calculator,0.07376074059739952,True,QueryStock
"What is the stock price of SQ on March 14th, 2022?",QueryStock,0.5933845754494671,True,QueryStock
"What is the stock price of SQ on March 14th, 2022?",Wiki,0.132829522979002,True,QueryStock
"What is the stock price of SQ on March 14th, 2022?",AddAlarm,0.0,False,QueryStock
"What is the stock price of SQ on March 14th, 2022?",AddReminder,0.029763251717952455,False,QueryStock
"What is the stock price of SQ on March 14th, 2022?",PlayMusic,0.09125675274259733,False,QueryStock
"What is the stock price of SQ on March 14th, 2022?",BookHotel,0.07900515651358164,False,QueryStock
Can you tell me about the stock price of SQ on Mar,Calculator,0.13229540497143982,True,QueryStock
Can you tell me about the stock price of SQ on Mar,QueryStock,0.614012954337779,True,QueryStock
Can you tell me about the stock price of SQ on Mar,Wiki,0.02894362462467151,True,QueryStock
Can you tell me about the stock price of SQ on Mar,AddAlarm,0.13517406053662134,False,QueryStock
Can you tell me about the stock price of SQ on Mar,AddReminder,0.04572829386883506,False,QueryStock
Can you tell me about the stock price of SQ on Mar,PlayMusic,0.04384566166065319,False,QueryStock
Can you tell me about the stock price of SQ on Mar,BookHotel,0.0,False,QueryStock
Can you tell me the stock price of SQ on March 14t,Calculator,0.10315120190858333,True,QueryStock
Can you tell me the stock price of SQ on March 14t,QueryStock,0.5830130741434609,True,QueryStock
Can you tell me the stock price of SQ on March 14t,Wiki,0.1429451957440896,True,QueryStock
Can you tell me the stock price of SQ on March 14t,AddAlarm,0.0,False,QueryStock
Can you tell me the stock price of SQ on March 14t,AddReminder,0.1409144793141001,False,QueryStock
Can you tell me the stock price of SQ on March 14t,PlayMusic,0.01714847092545087,False,QueryStock
Can you tell me the stock price of SQ on March 14t,BookHotel,0.012827577964315216,False,QueryStock
Can you help me search artificial intelligence on ,Calculator,0.0627661040346454,True,Wiki
Can you help me search artificial intelligence on ,QueryStock,0.029310789164859373,True,Wiki
Can you help me search artificial intelligence on ,Wiki,0.5719547153733346,True,Wiki
Can you help me search artificial intelligence on ,AddAlarm,0.14169358684563002,False,Wiki
Can you help me search artificial intelligence on ,AddReminder,0.0,False,Wiki
Can you help me search artificial intelligence on ,PlayMusic,0.07514186520091316,False,Wiki
Can you help me search artificial intelligence on ,BookHotel,0.11913293938061738,False,Wiki
